Product Name,Discounted Price,Original Price,Warranty,Stock Status,4k,UHD,Smart,LED,Ultra HD,Full HD,Android,OLED,QLED,HDR,PRO,Slim,Curved,8k,Theatre,Dynamic Range,Screen Size
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32
Toshiba 43-inch Smart LED TV,"1,399.00","1,645.00",2 Years,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43
Sony 32-inch LED TV,989,"1,036.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
Sony 40-inch Full HD LED TV,"1,299.00","1,444.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,40
Toshiba 49-inch Full HD LED TV,"1,499.00","2,299.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,49
LG 50-inch UHD TV,"2,399.00","3,300.00",2 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Sony 43-inch X70F 4K UHD HDR Smart TV,"1,599.00","2,199.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,43
"Sony 40"" Full HD Internet TV","1,549.00","1,885.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
Toshiba 32-inch Pro Theatre LED TV,729,980,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32
Toshiba 55-inch Pro Theatre Full HD LED TV,"2,399.00","2,669.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,55
Toshiba 55-inch UHD 4K with Android TV,"2,999.00","4,299.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55
Sharp 60-inch 4K UHD Android TV,"3,399.00","4,699.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60
Pensonic 24-inch LED TV,399,439,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
Philips 50-inch 4K Ultra Slim Smart TV,"1,788.00","2,829.00",2 Years,In stock,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32
Philips 43PFT4002S/98 Full HD Ultra Slim LED TV,"1,149.00","1,499.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,43
Philips 40-inch Full HD Ultra Slim LED TV,988,"1,099.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,40
LG 55-inch UHD TV,"2,599.00","3,961.00",2 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
LG 65-inch UHD TV,"3,669.00","6,131.00",2 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
LG 70-inch UHD TV,"5,999.00","9,999.00",2 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"Sharp 50"" 4K UHD Android TV","2,499.00","3,866.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
Sharp 60-inch 4K UHD Easy Smart TV,"2,999.00","4,239.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Sony 49-inch 4K HDR UHD TV,"2,399.00","2,709.00",2 Years,In stock,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49
Sharp 45-inch Smart UHD TV,"1,688.00","2,539.00",2 Years,In stock,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Sharp 45-inch 4K UHD Android TV,"1,999.00","2,999.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45
Toshiba 40L5650VM 40-inch Smart TV,"1,299.00","1,649.00",2 Years,In stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Hisense 49-inch LED TV,"1,299.00","1,829.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49
Panasonic 40-inch LED TV,"1,199.00","1,602.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40
Sony X75F 55-inch 4K Ultra HD HDR LED Smart TV,"2,999.00","3,259.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,55
Sony X75F 65-inch 4K Ultra HD HDR LED Smart TV,"4,359.00","4,699.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,65
Sony 85-inch UHD 4K Android LED TV,"18,199.00","19,559.00",2 Years,In stock,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,85
Sony 55-inch KD-55A8F OLED 4K ULTRA HD TV,"7,299.00","7,859.00",2 Years,In stock,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,55
Sony 65-inch KD-65A8F OLED 4K ULTRA HD TV,"10,799.00","11,659.00",2 Years,In stock,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,65
Samsung UA65NU7100KXXM 65-inch NU7100 Smart 4K UHD TV,"3,699.00","4,599.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Samsung 65-Inch NU7300 Curved Smart 4K UHD TV,"3,999.00","4,999.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,65
Sony X70F 49-inch 4K Ultra HD HDR LED Smart TV,"1,899.00","2,459.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,49
Sony X70F 55-inch 4K Ultra HD HDR LED Smart TV,"2,599.00","2,959.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,55
Panasonic TH-65FZ950K 65-inch OLED 4K Pro Ultra HD Smart TV,"11,999.00","15,999.00",2 Years,In stock,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,65
Panasonic TH-55FX600K 55-inch 4K Ultra HD Smart TV,"2,799.00","4,479.00",2 Years,In stock,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55
Panasonic TH-55FZ950K 55-inch OLED 4K Pro Ultra HD Smart TV,"7,999.00","10,999.00",2 Years,In stock,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,55
Panasonic TH-75FX750K 75-inch 4K Pro Ultra HD Smart TV,"9,799.00","15,093.00",2 Years,In stock,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,75
Sony X85F LED 4K ULTRA HD Smart Android TV,"6,299.00","6,699.00",2 Years,In stock,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,43
Sony 65-inch X70F LED 4K Ultra HD High Dynamic Range Smart TV,"3,999.00","4,359.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,65
Sharp 40-inch Full HD TV,999,"1,399.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
Sharp 50-inch Full HD Rasy Smart TV,"1,699.00","2,499.00",2 Years,In stock,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,50
Sharp 50-inch Full HD Basic TV,"1,599.00","2,699.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50
Haier 50-inch 4K Ultra HD Smart LED TV,"1,885.00","2,829.00",2 Years,Out of stock,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,50
Hisense 55-inch 4K Ultra HD Smart TV,"2,199.00","2,699.00",3 Years,In stock,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55
Hisense 49-Inch HD LED Smart TV,"1,599.00","1,899.00",3 Years,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49
Sharp 50-Inch 4K Ultra HD Easy Smart TV,"1,999.00","2,499.00",2 Years,In stock,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,50
Sharp 45-Inch Full HD Basic LED TV,"1,299.00","1,789.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,45
Haier 32-Inch Full HD LED TV,749,889,2 Years,Out of stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32
Sharp 40-Inch Full HD LED TV,899,"1,349.00",2 Years,Out of stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,40
Sony 75-Inch X85F LED 4K Ultra HDR Android TV,"8,999.00","9,799.00",0 Year,Out of stock,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,75
LG 75-Inch Smart 4K Ultra HD TV,"7,999.00","12,999.00",0 Year,Out of stock,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75
Sharp 70-Inch 4K Ultra HD Android TV,"6,999.00","9,999.00",2 Years,In stock,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,70
Hisense 65-Inch UHD TV,"3,899.00","4,999.00",3 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Hisense 55-Inch UHD TV,"2,599.00","2,999.00",0 Year,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Samsung 40-Inch N5000 Full HD TV,"1,099.00","1,602.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
Samsung 49-Inch N5000 Full HD TV,"1,599.00","1,899.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49
Panasonic 43-Inch Full HD TV,"1,349.00","1,935.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43
MSI 27-Inch Curved Gaming Monitor Optix MAG27C | Senheng TV,"1,400.00","1,400.00",2 Years,In stock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27
Hisense 50-Inch 4K UHD – A6100 - 50A6100UW | Senheng TV,"1,799.00","2,399.00",3 Years,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Hisense 50-Inch 4K UHD – A6501 - 50A6501UW | Senheng TV,"2,299.00","2,599.00",3 Years,In stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
SHARP 70 IN ULTRA HD 4K SMART LED TV,"5,999.00","7,999.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,70
Sharp 8K Resolution TV,"24,999.00","25,999.00",2 Years,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70
Sharp 8K Resolution TV,"35,999.00","36,999.00",2 Years,In stock,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70
Samsung 75-Inch Q75R QLED 4K UHD TV,"19,399.00","19,999.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75
Samsung 82-Inch Q60R QLED 4K UHD TV,"16,399.00","19,999.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,82
Samsung 75-Inch Q60R QLED 4K UHD TV,"12,249.00","13,999.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75
Samsung 65-Inch Q60R QLED 4K UHD TV,"8,049.00","8,999.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65
Samsung 55-Inch Q60R QLED 4K UHD TV,"5,599.00","6,499.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55
Samsung 65-Inch Q90R QLED 4K UHD TV,"18,499.00","18,999.00",2 Years,In stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65
Hisense Smart LED TV,"1,099.00","1,399.00",2 Years,Out of stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49
Samsung 55-Inch Q75R QLED 4K UHD TV,"7,799.00","7,999.00",2 Years,Out of stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,55
Samsung 65-Inch Q75R QLED 4K UHD TV,"13,599.00","13,999.00",2 Years,Out of stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,65
Samsung 75-Inch Q90R QLED 4K UHD TV,"28,999.00","29,999.00",2 Years,Out of stock,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75
Toshiba 55'' 4K Smart UHD TV,"2,299.00","3,899.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Skyworth 50-Inch Android UHD TV,"2,199.00","2,399.00",2 Years,In stock,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
Skyworth 55-Inch Android UHD TV,"2,499.00","3,599.00",2 Years,In stock,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55
Skyworth 65-Inch Android UHD TV,"3,699.00","4,499.00",2 Years,In stock,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65
Skyworth 75-Inch Android UHD TV,"7,299.00","15,999.00",2 Years,In stock,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
Skyworth 65-Inch OLED 4K TV,"12,999.00","19,999.00",2 Years,In stock,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,65
Skyworth 43-Inch Smart LED TV,"1,449.00","1,659.00",2 Years,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43
Skyworth 40-Inch LED TV,899,999,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40
Skyworth 43-Inch LED TV,"1,099.00","1,319.00",2 Years,Out of stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43
Skyworth 49-Inch LED TV,"1,399.00","1,659.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49
Skyworth 32-Inch Smart LED TV,959,"1,149.00",2 Years,Out of stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32
Toshiba 65-Inch UHD 4K Android Smart TV,"6,399.00","9,999.00",2 Years,In stock,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65
Samsung 43-Inch RU7100 Smart 4K UHD TV,"2,229.00","2,299.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Samsung 55-Inch RU7100 Smart 4K UHD TV,"3,199.00","3,299.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Samsung 50-Inch RU7100 Smart 4K UHD TV,"2,719.00","2,799.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Samsung 65-Inch RU7100 Smart 4K UHD TV,"4,849.00","4,999.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Samsung 75-Inch RU7100 Smart 4K UHD TV,"9,699.00","9,999.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Samsung 55-Inch RU8000 Premium Smart 4K UHD TV,"4,849.00","4,999.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Samsung 65-Inch RU8000 Premium Smart 4K UHD TV,"7,749.00","7,999.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Samsung 50-Inch RU7400 Smart 4K UHD TV,"2,999.00","3,099.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Samsung 65-Inch RU7400 Smart 4K UHD TV,"5,349.00","5,499.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Samsung 55-Inch RU7400 Smart 4K UHD TV,"3,599.00","3,699.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Pensonic 43-Inch LED TV,949,"1,159.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43
Pensonic 32-Inch LEDTV PEN-PLED3211T - TV,579,599,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
Skyworth 40-Inch Smart LED TV,"1,249.00","1,439.00",2 Years,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40
Sony X85F LED 4K Ultra HD High Dynamic Range Smart TV,"4,399.00","5,399.00",2 Years,In stock,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,55
